id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Estimated_Offers
8524,0.9,AGSL,VS1,K, ,63.6,,6.07x6.02x3.85,Excellent,Botswana,Asscher,Excellent,55.0,1,,3573.15
8525,0.7,AGSL,SI1,G,Very good,63.4,,5.58x5.6x3.54,Excellent,Russia,Asscher,Excellent,61.0,1,,3220.94375
8526,0.71,AGSL,SI2,D, ,60.1,,5.82x5.77x3.48,Excellent,Botswana,Round,Excellent,60.0,2,,2987.6049999999996
8527,0.7,AGSL,VS2,G, ,62.1,,5.71x5.7x3.54,Excellent,Australia,Round,Excellent,,1,,3080.830654761905
8528,0.7,AGSL,VS2,G, ,60.1,False,5.76x5.74x3.45,Excellent,Botswana,Round,Very good,58.0,1,,3094.422222222223
8529,0.7,AGSL,VS2,G, ,62.8,,5.68x5.65x3.56,Very good,South Africa,Round,Very good,,2,,3225.5439087301593
8530,0.62,AGSL,VS2,D, ,,,5.54x5.59x3.32,Very good,Botswana,Radiant,Very good,,1,,2899.766666666667
8531,0.62,AGSL,VS2,D, ,61.6,,5.49x5.56x3.4,Very good,Australia,Round,Very good,57.0,2,,2969.536666666667
8532,1.01,AGSL,SI2,L, ,63.6,,6.35x6.31x4.03,Very good,DR Congo,Round,Very good,58.0,2,,3869.6785714285716
8533,0.71,AGSL,VS1,E, ,67.3,,5.4x5.54x3.68,Good,Angola,Round,Faint,,2,,4045.7833333333338
8534,0.8,AGSL,SI2,G,Excellent,62.7,,5.92x5.96x3.72,Excellent,Botswana,Round,Excellent,,1,,3297.2833333333338
8535,0.9,,VVS1,K, ,63.1,,6.13x6.08x3.85,Very good,Russia,Pear,Very good,58.0,1,,3407.865
8536,0.7,AGSL,VS1,G, ,61.1,,5.69x5.65x3.46,Very good,South Africa,Emerald,Good,64.0,2,,3376.7465476190473
8537,0.7,AGSL,VS1,G, ,62.2,False,5.69x5.66x3.53,Excellent,Zimbabwe,Uncut,Very good,57.0,1,,3454.7715476190474
8538,0.7,AGSL,VS1,G, ,61.6,,5.67x5.64x3.49,Excellent,Canada,ROUND,Very good,63.0,2,,3356.1465476190474
8539,0.7,AGSL,VS2,F, ,63.6,,5.67x5.61x3.59,Very good,Russia,Princess,Good,55.0,1,,3400.709455266956
8540,0.71,AGSL,VS2,I, ,62.6,,5.7x5.74x3.58,Excellent,South Africa,Princess,Excellent,57.0,2,,2680.85
8541,0.71,AGSL,VS2,F, ,64.4,,5.62x5.59x3.61,Excellent,Botswana,Pear,Excellent,56.0,1,,3650.10625
8542,0.8,AGSL,SI2,F, ,61.7,,5.92x5.96x3.67, ,Other/Unknown,Round, ,60.0,1,,3628.1326190476193
8543,0.7,AGSL,VS1,G, ,62.5,,5.6x5.57x3.49,Excellent,Zimbabwe,Round,Very good,60.0,1,,3454.7715476190474
8544,0.7,AGSL,VS2,F, ,63.7,False,5.63x5.6x3.58,Excellent,Australia,Round,Excellent,55.0,2,,3002.091323953824
8545,0.7,GemEx,VS1,D, ,58.6,,5.64x5.72x3.33,Very good,Canada,Round,Very good,65.0,1,,4754.4875
8546,0.7,AGSL,VS2,F, ,63.2,,5.63x5.62x3.55,Excellent,Zimbabwe,Cushion,Excellent,57.0,2,,3474.2346572871575
8547,0.81,AGSL,SI1,I, ,62.8,False,5.86x5.94x3.7,Very good,Australia,Oval,Very good,58.0,1,,3397.15
8548,0.7,AGSL,SI1,F, ,63.2,False,5.58x5.62x3.54,Very good,Angola,Round,Very good,60.0,1,,3414.760059523809
8549,1.04,AGSL,VS1,M, ,62.4,,6.5x6.45x4.04,Excellent,Botswana,Radiant,Excellent,,2,,4285.35
8550,0.7,AGSL,VS1,F, ,64.0,False,5.63x5.57x3.59,Excellent,Russia,Emerald,Very good,58.0,2,,3622.326904761905
8551,0.82,AGSL,SI1,H,Very good,64.4,,5.83x5.85x3.76,Excellent,Zimbabwe,Round,Excellent,55.0,1,,3708.6
8552,0.7,AGSL,SI1,D, ,61.8,,5.71x5.67x3.52,Excellent,Russia,Round,Very good,,2,,3410.321428571429
8553,0.7,AGSL,VS1,F, ,63.6,,5.63x5.59x3.57,Excellent,Russia,Emerald,Very good,,2,,3622.326904761905
8554,0.81,GemEx,SI2,E, ,,False,5.89x5.88x3.74,Excellent,Zimbabwe,Princess,Excellent,57.0,1,,3160.45
8555,1.04,AGSL,SI2,L, ,62.4,False,6.49x6.46x4.04,Excellent,Russia,Round,Excellent,,1,,3468.35
8556,0.9,GemEx,SI1,L, ,64.5,,6.05x6.01x3.89,Very good,Russia,Round,Very good,58.0,1,,2985.15
8557,0.71,AGSL,VS1,F, ,64.0,,5.64x5.62x3.6,Very good,Australia,Marquise,Very good,54.0,2,,4000.3575000000005
8558,0.92,AGSL,SI1,J, ,63.7,,6.18x6.13x3.92,Excellent,Botswana,Round,Excellent,,1,,4266.930833333333
8559,0.7,AGSL,VVS1,G, ,64.1,False,5.57x5.56x3.57,Excellent,Canada,Round,Excellent,55.0,1,,3940.991666666667
8560,0.9,AGSL,SI1,J, ,61.3,False,6.22x6.17x3.8,Very good,South Africa,Pear,Very good,57.0,1,,4116.306666666666
8561,1.03,AGSL,SI1,L, ,62.3,,6.45x6.41x4.01,Very good,Australia,Round,Excellent,56.0,3,,4740.8
8562,0.7,AGSL,SI1,F, ,63.5,False,5.56x5.6x3.54,Very good,Russia,Princess,Excellent,58.0,1,,3350.366865079365
8563,0.71,AGSL,VS1,F, ,63.7,,5.63x5.61x3.58,Very good,Australia,Oval,Very good,57.0,1,,4000.3575000000005
8564,1.04,AGSL,SI2,L, ,60.2,,6.59x6.57x3.96,Excellent,Zimbabwe,Round,Excellent,,2,,3585.8125
8565,0.7,,VS1,G, ,62.5,,5.64x5.61x3.52,Very good,DR Congo,Oval,Excellent,57.0,1,,3315.9060714285715
8566,0.8,AGSL,SI2,E, ,61.9,,5.95x5.92x3.67,Excellent,DR Congo,Round,Excellent,59.0,2,,3334.316666666666
8567,0.7,AGSL,VVS2,F, ,63.4,False,5.65x5.63x3.58,Excellent,Russia,Round,Very good,,1,,3798.6910714285714
8568,1.01,AGSL,SI2,K, ,63.2,,6.41x6.37x4.04,Excellent,Russia,Round,Excellent,56.0,1,,3880.155
8569,1.0,AGSL,VVS2,L, ,,,6.12x6.16x4.1, ,Canada,Round, ,,2,,4727.7
8570,0.62,AGSL,VVS2,F, ,,,5.48x5.52x3.43,Excellent,Botswana,Round,Excellent,,1,,2806.9625
8571,0.8,AGSL,SI2,E, ,61.2,,5.95x5.98x3.65, ,Angola,Round, ,58.0,1,,3305.5375
8572,0.7,AGSL,VVS2,F, ,60.7,,5.67x5.69x3.45, ,Botswana,Round, ,,1,,3726.9083333333338
8573,1.03,AGSL,SI1,L, ,62.0,,6.49x6.47x4.02,Excellent,Botswana,Round,Excellent,56.0,1,,4871.65
8574,0.71,AGSL,VS2,E, ,60.9,,5.81x5.77x3.53,Excellent,Botswana,Round,Excellent,,2,,3637.9840476190466
8575,0.9,,SI2,G, ,63.8,,6.01x6.11x3.86, ,Angola,Princess, ,55.0,1,,4818.73
8576,0.8,AGSL,SI1,F, ,63.6,,5.88x5.84x3.73,Excellent,Russia,Oval,Very good,54.0,1,,4487.5142261904775
8577,0.71,AGSL,SI1,G, ,61.9,,5.71x5.73x3.54,Excellent,Zimbabwe,Asscher,Excellent,,2,,3472.65
8578,1.01,AGSL,SI2,K, ,60.7,,6.5x6.46x3.93,Excellent,Botswana,Round,Excellent,59.0,2,,4162.65
8579,0.72,AGSL,VS1,E, ,60.5,,5.81x5.79x3.51,Excellent,South Africa,Round,Excellent,,2,,4788.8375
8580,0.7,,VVS1,G, ,62.7,,5.67x5.65x3.55,Excellent,Botswana,Round,Excellent,57.0,1,,3886.675
8581,1.01,AGSL,VS2,K, ,62.5,,6.44x6.39x4.01,Excellent,Canada,Round,Very good,57.0,1,,4094.9617857142857
8582,0.7,AGSL,VS2,D, ,62.1,,5.69x5.66x3.53,Excellent,Russia,Asscher,Very good,58.0,2,,4412.194642857143
8583,1.0,AGSL,SI1,J, ,66.2,,6.14x6.16x4.07, ,Canada,ROUND, ,60.0,2,,4744.66
8584,0.75,GemEx,VS1,F, ,60.0,False,5.9x5.85x3.52,Excellent,Australia,Round,Excellent,58.0,1,,4137.345833333333
8585,0.9,AGSL,SI1,I, ,60.7,False,6.14x6.11x3.72,Excellent,DR Congo,Round,Good,63.0,1,,4377.165158730159
8586,1.01,AGSL,VS2,K, ,62.0,False,6.45x6.39x3.98,Excellent,Russia,Round,Very good,,1,,4269.958333333334
8587,1.01,,SI1,K, ,62.4,,6.43x6.4x4,Excellent,South Africa,Emerald,Excellent,58.0,2,,4173.75
8588,0.7,AGSL,VVS2,E, ,61.6,,5.71x5.67x3.5,Excellent,Angola,Asscher,Excellent,61.0,2,,3563.228809523809
8589,1.01,AGSL,I1,J, ,61.9,,6.42x6.45x3.98,Excellent,Canada,Radiant,Excellent,57.0,2,,5531.211726190476
8590,0.76,AGSL,VVS1,G, ,57.7,,6.06x6.04x3.49,Very good,Australia,Oval,Excellent,,3,,4545.55
8591,0.75,AGSL,VS2,H, ,62.2,,5.84x5.78x3.62,Excellent,Australia,Oval,Very good,58.0,1,,3413.4083333333333
8592,0.81,AGSL,VS2,E, ,62.4,,5.99x5.97x3.73,Very good,South Africa,Princess,Very good,57.0,2,,5650.05
8593,0.7,AGSL,VVS1,F, ,62.0,,5.75x5.72x3.56,Excellent,Russia,Pear,Excellent,56.0,2,,3950.4666666666662
8594,1.0,AGSL,SI2,J, ,62.4,False,6.4x6.38x3.99,Excellent,Zimbabwe,Princess,Very good,56.0,2,,4469.379047619048
8595,1.0,AGSL,IF,K, ,,,6.53x6.52x3.79,Very good,Canada,Radiant,Excellent,62.0,2,,4214.675
8596,0.9,AGSL,SI2,F, ,63.0,,6.13x6.09x3.85,Excellent,Botswana,Princess,Very good,57.0,1,,5276.602142857143
8597,0.7,,VVS1,F, ,62.1,,5.69x5.67x3.52,Excellent,Canada,Round,Excellent,58.0,1,,3977.2833333333333
8598,0.72,,VS2,G, ,61.6,,5.79x5.75x3.55,Excellent,Botswana,Round,Excellent,57.0,2,,3599.933333333333
8599,0.72,AGSL,SI1,D, ,59.0,,5.87x5.91x3.48,Very good,Botswana,Princess,Very good,59.0,1,,3868.6885714285722
8600,0.91,,SI1,H, ,62.4,,6.21x6.16x3.86,Very good,Canada,Princess,Very good,,2,,5201.114166666667
8601,1.01,GemEx,SI1,J, ,,False,6.42x6.36x4.04,Excellent,Russia,Round,Excellent,55.0,1,,5249.53365079365
8602,1.0,AGSL,SI1,K, ,,,6.45x6.48x3.95, ,Australia,Round, ,55.0,3,,4459.283333333334
8603,1.0,,VS2,K, ,61.7,,6.35x6.4x3.94, ,Russia,Radiant, ,59.0,1,,3757.85
8604,1.03,AGSL,SI1,K, ,60.4,,6.54x6.51x3.95,Excellent,Russia,Radiant,Excellent,,3,,5052.5
8605,0.9,AGSL,SI2,E, ,62.6,,6.12x6.08x3.82,Excellent,Australia,Emerald,Very good,,1,,4868.414237012988
8606,1.01,GemEx,SI2,J, ,59.1,,6.58x6.51x3.87,Excellent,Russia,Round,Very good,61.0,1,,4923.576949716951
8607,1.03,AGSL,VS2,L, ,60.7,,6.5x6.51x3.95, ,DR Congo,Round, ,62.0,1,,4707.0
8608,0.74,AGSL,VS2,G, ,61.0,,5.85x5.78x3.55,Excellent,Australia,Round,Very good,,1,,3632.05
8609,0.73,AGSL,VVS1,F, ,61.2,False,5.82x5.79x3.55,Excellent,Russia,Round,Excellent,60.0,1,,4051.425
8610,1.24,AGSL,VVS2,L, ,61.9,False,6.85x6.88x4.25,Excellent,Russia,Round,Excellent,59.0,3,,5631.7
8611,1.0,AGSL,VS1,K, ,61.5,,6.42x6.45x3.95, ,South Africa,Princess, ,58.0,1,,4750.25
8612,1.0,AGSL,SI2,J, ,61.9,False,6.39x6.4x3.96,Excellent,Russia,Round,Very good,58.0,1,,4483.889944083694
8613,1.03,AGSL,SI2,J, ,61.2,,6.52x6.51x3.98,Excellent,Botswana,Round,Excellent,59.0,1,,4930.5875
8614,1.01,AGSL,VS2,J, ,,,6.31x6.4x4.03, ,Russia,Round, ,,3,,5405.0179761904765
8615,1.01,AGSL,VS1,J, ,60.3,,6.44x6.39x3.87,Excellent,Other/Unknown,Radiant,Very good,60.0,3,,5742.292420634921
8616,1.05,,VS1,K, ,60.7,,6.52x6.57x3.97, ,Russia,Pear, ,62.0,2,,5704.15
8617,0.7,AGSL,VS2,D,Excellent,62.2,,5.64x5.66x3.52,Excellent,South Africa,Round,Excellent,59.0,2,,4106.766071428571
8618,0.7,AGSL,VS1,G, ,61.2,,5.76x5.71x3.51,Excellent,DR Congo,Round,Excellent,57.0,1,,3315.9060714285715
8619,1.0,AGSL,SI1,J, ,64.4,,6.17x6.26x4, ,Botswana,Round, ,57.0,3,,4885.6
8620,1.01,AGSL,VS2,J, ,64.0,,6.35x6.29x4.04,Excellent,Russia,Princess,Very good,56.0,1,,5405.0179761904765
8621,0.8,AGSL,VS1,F, ,62.4,,5.95x5.89x3.69,Excellent,Russia,Radiant,Very good,59.0,2,,5329.015
8622,1.01,AGSL,SI2,J, ,60.4,False,6.52x6.49x3.93,Excellent,South Africa,Round,Excellent,,2,,4560.503928571428
8623,0.7,AGSL,IF,E, ,61.6,,5.69x5.78x3.53,Good,Botswana,Princess,Good,61.0,1,,5116.530992063493
8624,1.0,GemEx,SI2,I, ,63.2,,6.24x6.33x3.98, ,Russia,Oval, ,58.0,2,,4589.969920634921
8625,1.02,AGSL,VS2,K, ,62.7,,6.39x6.45x4.02, ,Russia,Emerald, ,58.0,1,,4406.85
8626,1.31,AGSL,SI2,L, ,63.6,,6.91x6.87x4.38,Excellent,Russia,Radiant,Very good,,2,,6720.016666666666
8627,0.91,AGSL,SI1,H, ,,,6.24x6.21x3.85,Excellent,Russia,Round,Very good,57.0,2,,5404.444523809524
8628,0.9,AGSL,SI2,G,Excellent,61.4,,6.2x6.23x3.82,Excellent,Canada,Oval,Excellent,57.0,1,,4635.855
8629,0.9,AGSL,SI2,F, ,62.8,,6.13x6.17x3.86, ,Angola,Round, ,,1,,5447.388095238095
8630,1.0,AGSL,SI1,J, ,63.2,,6.27x6.32x3.98, ,Botswana,Cushion, ,60.0,3,,4885.6
8631,1.02,,VS2,K, ,63.2,,6.34x6.42x4.03,Very good,Russia,Round,Very good,,1,,4406.85
8632,1.03,AGSL,SI2,I, ,59.6,,6.53x6.57x3.9, ,Canada,Round, ,61.0,1,,5381.604107142858
8633,0.9,AGSL,SI2,G,Excellent,60.7,,6.27x6.28x3.81,Excellent,Angola,Round,Excellent,,2,,4818.73
8634,1.0,GemEx,VVS2,K, ,61.9,,6.39x6.35x3.95,Excellent,Russia,Emerald,Excellent,59.0,1,,6167.95
8635,0.8,,VVS2,G, ,60.5,,5.97x6x3.62, ,Australia,Pear, ,,1,,4808.025
8636,0.8,AGSL,VS1,E, ,63.9,False,5.87x5.84x3.74,Excellent,Russia,Round,Very good,55.0,1,,4833.041666666667
8637,1.0,AGSL,SI2,I, ,62.1,,6.36x6.38x3.96, ,Russia,Round, ,57.0,2,,4589.969920634921
8638,1.01,AGSL,SI2,J, ,62.5,,6.38x6.42x4, ,Botswana,Princess, ,56.0,2,,4986.620423987776
8639,1.01,AGSL,VS2,J, ,59.7,,6.55x6.52x3.9,Excellent,Russia,Princess,Excellent,60.0,3,,5405.0179761904765
8640,0.84,AGSL,VS1,G, ,62.3,,6.02x6.06x3.77, ,DR Congo,Pear, ,,2,,4678.7
8641,0.8,AGSL,VS1,E, ,63.0,,5.93x5.87x3.72,Very good,South Africa,Pear,Very good,56.0,2,,5259.6258333333335
8642,1.01,AGSL,SI2,I, ,60.2,,6.52x6.5x3.92,Excellent,Botswana,Oval ,Excellent,,3,,5164.941631473317
8643,1.01,AGSL,SI2,I, ,62.4,,6.41x6.4x4,Excellent,Other/Unknown,Round,Excellent,56.0,1,,4325.940494227993
8644,1.01,AGSL,SI2,I, ,,,6.32x6.39x4.04, ,Australia,Round, ,,1,,4792.760952380952
8645,1.01,GemEx,SI2,I, ,64.2,,6.26x6.34x4.05, ,Russia,Round, ,57.0,2,,5155.815544733045
8646,0.9,AGSL,SI1,F, ,62.9,,6.13x6.07x3.84,Excellent,South Africa,Marquis,Good,58.0,2,,5461.8835714285715
8647,1.01,AGSL,SI2,L, ,60.0,,6.51x6.49x3.9,Excellent,Australia,Princess,Excellent,60.0,3,,3807.804047619048
8648,0.8,AGSL,VVS1,H, ,62.0,,5.91x5.95x3.68, ,Botswana,Round, ,57.0,1,,4536.281666666667
8649,1.03,AGSL,SI2,J, ,61.9,,6.47x6.49x4.01, ,Botswana,Round, ,,2,,4930.5875
8650,1.01,AGSL,SI2,H, ,61.6,,6.45x6.4x3.96,Very good,Angola,Round,Excellent,61.0,2,,5589.395476190477
8651,1.03,AGSL,SI2,J,Excellent,62.4,,6.45x6.47x4.03,Excellent,Botswana,Emerald,Excellent,57.0,3,,4930.5875
8652,1.03,AGSL,VVS2,L, ,61.9,,6.45x6.46x4, ,Canada,Oval, ,58.0,2,,4915.85
8653,0.9,AGSL,SI1,G, ,62.0,,6.15x6.09x3.79,Very good,Botswana,Round,Very good,,1,,4989.315
8654,0.9,AGSL,SI1,G, ,64.3,,6.01x6.1x3.9, ,Australia,Princess, ,55.0,2,,4982.216666666667
8655,1.0,AGSL,SI2,I, ,62.8,False,6.35x6.42x4.01, ,Russia,Cushion, ,57.0,2,,4589.969920634921
8656,1.02,AGSL,SI1,J, ,60.4,,6.54x6.51x3.94,Excellent,Russia,Round,Excellent,,1,,5366.936904761906
8657,1.03,,SI2,I, ,,,6.54x6.59x3.93, ,DR Congo,Round, ,61.0,2,,5248.175476190477
8658,0.9,AGSL,VS1,H, ,,,6.07x6x3.88,Excellent,DR Congo,Round,Very good,,3,,5070.323333333334
8659,1.03,AGSL,SI2,I, ,63.6,False,6.35x6.38x4.05, ,South Africa,Round, ,57.0,3,,4850.2508333333335
8660,1.01,AGSL,SI2,I, ,62.2,,6.44x6.41x3.99,Excellent,Russia,Radiant,Excellent,57.0,1,,5155.815544733045
8661,1.01,AGSL,SI2,I, ,,,6.4x6.44x3.99, ,DR Congo,Marquise, ,56.0,1,,5309.1429816017335
8662,0.9,AGSL,SI2,G, ,62.2,,6.15x6.17x3.83,Excellent,Botswana,Princess,Excellent,57.0,1,,4376.586666666667
8663,1.32,AGSL,VS2,M, ,62.7,,6.95x7x4.38, ,Russia,Radiant, ,57.0,1,,6845.862500000001
8664,1.14,AGSL,SI1,K, ,61.1,,6.72x6.76x4.12, ,DR Congo,Round, ,,1,,5425.7875
8665,1.21,AGSL,VS2,L, ,62.4,,6.81x6.79x4.24,Excellent,South Africa,Princess,Excellent,57.0,2,,5698.5
8666,1.04,AGSL,SI2,J, ,62.6,,6.44x6.47x4.04,Excellent,Other/Unknown,Oval,Excellent,56.0,3,,4733.7675
8667,1.0,,SI2,E, ,65.4,,6.13x6.29x4.06, ,Russia,Asscher, ,55.0,2,,5935.813313492065
8668,1.02,AGSL,VVS2,K, ,60.3,,6.53x6.57x3.95, ,Russia,Emerald, ,61.0,2,,7024.7
8669,0.96,AGSL,SI2,F, ,62.8,,6.31x6.25x3.94,Excellent,Canada,Radiant,Excellent,57.0,2,,6833.6425
8670,1.2,AGSL,VS2,L, ,60.6,False,6.9x6.97x4.2,Very good,South Africa,Round,Very good,59.0,2,,5311.8
8671,0.85,AGSL,VS2,F, ,60.5,,6.12x6.17x3.71,Excellent,Botswana,Round,Very good,58.0,1,,5662.6625
8672,0.81,AGSL,VS1,D, ,63.9,,5.88x5.84x3.74,Excellent,South Africa,Round,Very good,56.0,2,,6028.21
8673,1.01,AGSL,VS1,I, ,66.0,,6.12x6.18x4.06, ,DR Congo,Emerald, ,,3,,7016.15
8674,1.01,AGSL,SI1,J, ,,,6.27x6.31x3.96,Excellent,Russia,Princess,Excellent,,2,,5249.53365079365
8675,1.07,AGSL,SI2,L, ,61.6,,6.64x6.59x4.08,Excellent,Botswana,Round,Good,,2,,3567.2
8676,1.01,AGSL,VS2,J, ,60.7,,6.47x6.5x3.94, ,Australia,Round, ,61.0,1,,6315.647500000001
8677,0.91,AGSL,SI2,F, ,62.0,,6.18x6.2x3.84,Good,Russia,Round,Good,58.0,1,,5115.605833333333
8678,1.46,AGSL,VS2,M, ,,,7.29x7.33x4.49, ,Botswana,Oval, ,57.0,3,,9441.0
8679,1.01,AGSL,SI2,I, ,64.3,,6.25x6.32x4.04, ,Canada,Round, ,59.0,2,,4982.462090548342
8680,1.05,GemEx,SI1,K, ,,,6.54x6.51x4.03,Excellent,Australia,Round,Excellent,57.0,1,,4984.45
8681,1.02,AGSL,SI1,K,Good,64.0,,6.23x6.27x4,Very good,DR Congo,Oval ,Excellent,59.0,3,,4294.0
8682,1.01,AGSL,SI1,I, ,61.4,False,6.45x6.42x3.95,Excellent,Canada,Round,Excellent,61.0,1,,5375.132880036629
8683,1.04,GemEx,SI1,J, ,62.7,,6.44x6.49x4.05, ,Australia,Round, ,57.0,4,,5544.45
8684,1.01,AGSL,SI2,J,Good,64.0,,6.24x6.26x4,Very good,Canada,Round,Very good,61.0,2,,5118.562222222221
8685,1.01,AGSL,SI2,F, ,62.8,,6.41x6.37x4.01,Excellent,Botswana,Round,Very good,57.0,2,,5138.4325
8686,1.02,AGSL,SI1,I, ,,,6.53x6.5x3.93,Excellent,DR Congo,Round,Excellent,59.0,1,,5923.798333333334
8687,1.03,AGSL,SI2,I, ,61.8,,6.46x6.51x4.01, ,Canada,ROUND, ,,2,,5381.604107142858
8688,0.9,,VS1,H, ,61.0,,6.2x6.12x3.76,Very good,Russia,Round,Good,56.0,1,,5282.802619047619
8689,1.01,GemEx,SI2,G, ,60.2,,6.52x6.49x3.92,Very good,Canada,Pear,Excellent,,3,,4695.099166666667
8690,1.0,GemEx,SI1,I, ,65.2,,6.21x6.15x4.02,Very good,Other/Unknown,Princess,Very good,57.0,3,,6001.506944444445
8691,1.22,AGSL,SI2,K, ,62.5,,6.8x6.85x4.27, ,Angola,Round, ,56.0,3,,6222.95
8692,1.1,AGSL,SI1,J, ,60.5,False,6.69x6.66x4.04,Excellent,Russia,Round,Excellent,59.0,2,,6072.970833333333
8693,1.0,,VS2,J, ,61.4,,6.42x6.47x3.96, ,Canada,Pear, ,,1,,5688.79375
8694,1.3,,SI1,L, ,59.6,,7.13x7.09x4.24,Excellent,Botswana,Radiant,Excellent,60.0,2,,5283.227380952381
8695,0.9,AGSL,VVS2,H, ,62.1,,6.2x6.11x3.82,Excellent,Russia,Round,Good,,2,,5216.692619047619
8696,1.51,AGSL,VS2,M, ,63.1,,7.26x7.24x4.57,Excellent,Canada,ROUND,Excellent,56.0,3,,9589.766666666666
8697,1.01,AGSL,SI1,J,Good,65.3,,6.15x6.2x4.03,Very good,Russia,Asscher,Very good,,1,,5249.53365079365
8698,1.01,AGSL,SI2,H, ,59.1,,6.57x6.54x3.88,Excellent,Botswana,Marquise,Excellent,61.0,1,,5222.919583333333
8699,1.01,AGSL,SI2,H, ,60.3,,6.52x6.5x3.93,Excellent,Botswana,Emerald,Excellent,59.0,4,,5222.919583333333
8700,1.13,AGSL,VVS2,K, ,59.8,,6.75x6.77x4.04, ,Botswana,Marquise, ,61.0,1,,6257.5
8701,1.2,AGSL,SI2,K, ,61.2,,6.81x6.82x4.17, ,Australia,Round, ,,2,,5764.269047619047
8702,1.12,AGSL,SI2,I, ,,,6.54x6.59x4.08, ,Russia,Round, ,,1,,5888.643333333333
8703,0.9,AGSL,VS2,G, ,60.8,,6.25x6.23x3.8,Excellent,DR Congo,Round,Excellent,60.0,1,,5797.005
8704,1.01,AGSL,VS2,J, ,60.0,,6.51x6.52x3.91, ,Zimbabwe,Round, ,62.0,2,,5461.0041666666675
8705,1.04,AGSL,SI1,J, ,62.4,,6.45x6.48x4.03, ,Botswana,Round, ,57.0,2,,5592.025
8706,0.9,AGSL,SI1,G,Excellent,62.3,,6.15x6.2x3.85,Excellent,Canada,Marquise,Excellent,,1,,5085.586904761904
8707,0.9,AGSL,SI1,G,Very good,61.5,,6.14x6.17x3.79,Excellent,Russia,Asscher,Good,57.0,1,,4802.546666666667
8708,1.02,AGSL,SI2,H, ,60.2,,6.55x6.53x3.93,Excellent,Australia,Round,Excellent,59.0,2,,5226.451488095237
8709,1.01,AGSL,VVS1,L, ,62.0,,6.39x6.42x3.97,Excellent,Russia,Round,Excellent,60.0,3,,4720.9
8710,1.09,AGSL,VS2,J, ,59.7,,6.7x6.67x3.99,Excellent,Angola,Pear,Excellent,60.0,1,,6340.025
8711,1.0,AGSL,SI2,H, ,59.8,,6.44x6.49x3.87,Very good,Russia,Round,Very good,64.0,2,,5522.6130303030295
8712,1.1,AGSL,SI2,I, ,62.5,,6.57x6.6x4.12, ,Russia,Round, ,55.0,1,,5551.573333333334
8713,1.07,AGSL,I1,H, ,64.1,,6.42x6.47x4.13,Excellent,Russia,Round,Excellent,,3,,4818.15
8714,0.72,AGSL,VVS1,G, ,62.8,,5.75x5.72x3.6,Excellent,Australia,Asscher,Very good,57.0,3,,3956.225
8715,0.9,,VS1,H, ,63.1,,6.02x6.12x3.83, ,Other/Unknown,Round, ,57.0,1,,5341.185952380952
8716,1.05,GemEx,SI2,J, ,62.5,,6.49x6.54x4.08, ,Botswana,Oval, ,57.0,3,,5810.404285714285
8717,0.9,GemEx,VS2,F, ,62.0,,6.16x6.2x3.83, ,Botswana,Round, ,56.0,2,,6570.983333333333
8718,1.19,AGSL,VVS2,K, ,59.2,,6.91x6.93x4.1,Excellent,Russia,Oval,Excellent,61.0,3,,6599.7375
8719,1.22,AGSL,VS2,K, ,61.8,False,6.89x6.87x4.25,Excellent,Australia,Round,Excellent,,2,,6526.0
8720,0.8,AGSL,VS2,D, ,61.1,,5.96x6.01x3.66,Very good,Australia,Round,Very good,,1,,6392.104999999999
8721,1.01,AGSL,SI2,K, ,62.2,,6.3x6.26x3.91,Very good,DR Congo,Round,Very good,60.0,2,,4099.15
8722,1.07,AGSL,SI2,H, ,62.4,,6.56x6.54x4.09,Excellent,Canada,Round,Excellent,,3,,5711.78
8723,1.02,AGSL,SI2,I,Good,61.2,,6.29x6.32x3.86,Very good,DR Congo,Round,Very good,61.0,4,,5158.130324675324
8724,1.01,,SI1,I, ,,,6.43x6.4x4,Excellent,Canada,Radiant,Excellent,,3,,5375.132880036629
8725,1.03,AGSL,SI1,J, ,62.5,,6.43x6.47x4.03, ,DR Congo,Princess, ,57.0,4,,5532.899166666667
8726,1.16,AGSL,SI2,I, ,61.6,,6.72x6.77x4.15, ,DR Congo,Princess, ,,1,,6468.189166666666
8727,1.16,AGSL,VVS1,K, ,,,6.76x6.79x4.13, ,Canada,Round, ,,2,,5754.916666666668
8728,1.12,AGSL,VS2,J, ,61.6,,6.64x6.68x4.1, ,Russia,Round, ,59.0,2,,7040.25
8729,1.01,AGSL,VS2,I, ,,,6.5x6.46x3.94,Excellent,Botswana,Round,Very good,63.0,1,,6610.713333333332
8730,1.01,AGSL,SI2,H, ,60.8,,6.45x6.46x3.93, ,Russia,Round, ,59.0,3,,5609.363547826657
8731,0.9,AGSL,VS1,G, ,62.7,,6.15x6.05x3.82,Excellent,Australia,Round,Good,61.0,1,,6317.9425
8732,1.21,AGSL,SI1,L,Very good,62.1,,6.8x6.83x4.23,Very good,Russia,Asscher,Good,58.0,4,,5434.141666666667
8733,1.04,AGSL,SI2,G, ,62.4,,6.5x6.46x4.04,Excellent,Russia,Emerald,Excellent,57.0,1,,6620.969999999998
