id,Carats,Cert,Clarity,Color,Cut,Depth,Known_Conflict_Diamond,Measurements,Polish,Regions,Shape,Symmetry,Table,Vendor,Offers,Estimated_Offers,Adjusted_Offers,Final_Offers
8807,1.14,AGSL,SI2,G, ,62.9,False,6.62x6.67x4.18, ,Botswana,Princess, ,56.0,3,,6245.08,6245.08,6245.08
8808,1.02,AGSL,SI1,H, ,,,6.28x6.32x4.09,Excellent,Botswana,Round,Excellent,57.0,2,,7385.6475,7385.6475,7385.6475
8809,0.9,AGSL,VVS2,F, ,63.9,,6.09x6.03x3.87,Excellent,DR Congo,Round,Excellent,,2,,6252.066666666667,0.0,0.0
8810,0.9,AGSL,VVS2,F, ,,,6.07x6.04x3.88,Excellent,Angola,Princess,Excellent,57.0,1,,6438.3,0.0,0.0
8811,1.02,AGSL,SI2,E, ,62.6,,6.41x6.43x4.02, ,Russia,Round, ,57.0,3,,7389.010476190477,7389.010476190477,7389.010476190477
8812,1.09,AGSL,SI2,E, ,61.9,,6.57x6.61x4.08,Excellent,Russia,Round,Excellent,,3,,8686.995,8686.995,8686.995
8813,1.01,AGSL,VS1,I, ,,,6.48x6.46x3.98,Excellent,Russia,Emerald,Excellent,59.0,2,,7068.395833333332,7068.395833333332,7068.395833333332
8814,0.91,AGSL,VS2,G, ,,,6.17x6.21x3.87, ,DR Congo,Pear, ,,2,,5874.63,0.0,0.0
8815,1.0,AGSL,SI2,H,Excellent,,,6.44x6.48x3.96,Excellent,Russia,Radiant,Excellent,,3,,5532.4428030303025,5532.4428030303025,5532.4428030303025
8816,1.05,AGSL,SI2,H, ,62.5,,6.48x6.51x4.06,Excellent,Canada,Oval ,Excellent,,3,,5707.491666666668,5707.491666666668,5707.491666666668
8817,1.4,AGSL,SI1,L, ,60.9,,7.19x7.21x4.38, ,Russia,Pear, ,60.0,2,,6227.385,6227.385,6227.385
8818,1.42,GemEx,VS2,K, ,,,7.17x7.14x4.49,Excellent,Australia,Round,Excellent,,1,,7487.458333333334,7487.458333333334,7487.458333333334
8819,1.01,GemEx,VS1,G, ,65.4,False,6.12x6.28x4.06, ,Angola,Round, ,54.0,3,,9173.581666666667,0.0,0.0
8820,1.21,AGSL,SI2,I, ,62.4,,6.77x6.8x4.24, ,Russia,Round, ,56.0,2,,7479.420524891774,7479.420524891774,7479.420524891774
8821,1.4,AGSL,VS2,K, ,63.1,,7.12x7.05x4.47,Excellent,Russia,Round,Excellent,57.0,4,,7287.9875,7287.9875,7287.9875
8822,1.08,AGSL,VS2,I, ,60.2,,6.64x6.7x4.02,Very good,Australia,Round,Very good,58.0,3,,7758.55,7758.55,7758.55
8823,1.2,AGSL,VVS2,J, ,62.6,,6.8x6.74x4.24,Excellent,Canada,Round,Excellent,,4,,7140.525,7140.525,7140.525
8824,1.35,,SI1,K, ,62.4,,7x7.05x4.38, ,DR Congo,Marquise, ,,3,,6832.05,0.0,0.0
8825,1.5,AGSL,SI2,L, ,61.5,,7.34x7.36x4.52, ,Botswana,Asscher, ,59.0,4,,7735.85,7735.85,7735.85
8826,1.09,AGSL,SI2,F, ,,,6.57x6.6x4.09, ,Australia,Round, ,,3,,7614.646428571428,7614.646428571428,7614.646428571428
8827,1.18,AGSL,SI2,I, ,62.3,,6.76x6.77x4.21,Excellent,Botswana,Marquise,Excellent,57.0,3,,6559.877261904762,6559.877261904762,6559.877261904762
8828,1.16,AGSL,SI1,F, ,61.4,,6.74x6.78x4.15,Excellent,Russia,ROUND,Excellent,,2,,9075.286666666667,9075.286666666667,9075.286666666667
8829,1.26,AGSL,VS2,J, ,62.5,,6.89x6.86x4.3,Excellent,South Africa,Oval,Excellent,57.0,4,,8547.95,8547.95,8547.95
8830,1.41,AGSL,VVS2,L, ,61.9,,7.15x7.19x4.44, ,Russia,Round, ,59.0,2,,6704.41,6704.41,6704.41
8831,0.91,AGSL,VS2,E, ,,,6.21x6.24x3.8, ,Russia,Round, ,60.0,2,,5956.185,5956.185,5956.185
8832,1.51,AGSL,VS2,L, ,62.5,,7.36x7.28x4.58,Very good,DR Congo,Uncut,Very good,56.0,2,,7397.5375,0.0,0.0
8833,1.0,AGSL,VVS1,I, ,62.1,,6.43x6.45x4, ,Botswana,Round, ,,4,,7067.560833333334,7067.560833333334,7067.560833333334
8834,1.54,GemEx,VS2,L, ,58.0,,7.63x7.6x4.42,Excellent,Russia,Oval,Excellent,62.0,2,,7428.2625,7428.2625,7428.2625
8835,1.5,AGSL,SI1,L, ,62.8,,7.3x7.21x4.56,Excellent,Botswana,Round,Very good,57.0,2,,7557.0675,7557.0675,7557.0675
8836,1.01,,SI1,G, ,61.0,,6.43x6.48x3.94,Good,Russia,Round,Good,,3,,6823.018055555555,6823.018055555555,6823.018055555555
8837,1.01,AGSL,VS1,I, ,60.1,,6.47x6.52x3.9, ,Russia,Radiant, ,60.0,4,,7068.395833333332,7068.395833333332,7068.395833333332
8838,1.21,AGSL,VS2,I, ,,,6.98x6.93x4.15,Very good,Angola,Round,Good,57.0,2,,9598.266666666668,0.0,0.0
8839,1.08,AGSL,VS1,J, ,62.4,,6.56x6.61x4.11,Excellent,Canada,Oval,Excellent,55.0,3,,6058.725,6058.725,6058.725
8840,1.3,AGSL,SI1,J, ,62.3,,7.03x7x4.37,Excellent,Russia,Round,Excellent,55.0,3,,7944.139754689757,7944.139754689757,7944.139754689757
8841,1.3,AGSL,SI1,J, ,62.6,,7x6.96x4.37,Excellent,Angola,Oval,Excellent,55.0,2,,7202.940416666666,0.0,0.0
8842,1.3,,SI1,J, ,,,7.12x7.09x4.24,Excellent,Canada,Round,Excellent,60.0,1,,7528.133306277056,7528.133306277056,7528.133306277056
8843,1.36,AGSL,VVS2,K, ,62.2,False,7.06x7.09x4.4, ,Botswana,Emerald, ,,1,,7380.916666666668,7380.916666666668,7380.916666666668
8844,1.22,AGSL,SI2,H, ,62.8,False,6.82x6.8x4.28,Excellent,South Africa,Round,Excellent,,4,,7797.6525,7797.6525,7797.6525
8845,1.0,AGSL,VS2,H, ,62.5,,6.33x6.37x3.97,Excellent,Russia,Emerald,Good,60.0,2,,6923.555833333334,6923.555833333334,6923.555833333334
8846,1.33,AGSL,SI2,J, ,62.9,,7.01x6.98x4.4,Excellent,Canada,Round,Excellent,,2,,7875.5,7875.5,7875.5
8847,1.0,GemEx,SI2,E,Good,63.3,,6.24x6.28x3.96,Very good,Russia,Princess,Very good,61.0,4,,5849.144404761905,5849.144404761905,5849.144404761905
8848,1.0,AGSL,SI1,H,Good,,,6.28x6.32x3.96,Very good,Angola,Emerald,Good,59.0,4,,6573.432916666668,0.0,0.0
8849,1.2,AGSL,SI1,I, ,60.7,,6.88x6.84x4.17,Excellent,Russia,Emerald,Excellent,59.0,2,,8046.277142857143,8046.277142857143,8046.277142857143
8850,1.26,AGSL,VS1,J, ,60.6,,7.01x6.98x4.24,Excellent,DR Congo,Princess,Excellent,59.0,4,,6771.0,0.0,0.0
8851,1.01,AGSL,SI1,H,Good,63.8,,6.16x6.24x3.96,Very good,Australia,Princess,Good,,2,,8095.049166666668,8095.049166666668,8095.049166666668
8852,1.01,AGSL,SI2,F, ,62.4,,6.41x6.44x4.01,Excellent,Russia,Round,Excellent,,3,,6538.7176427738905,6538.7176427738905,6538.7176427738905
8853,1.01,AGSL,SI2,F, ,60.8,,6.41x6.44x3.91,Excellent,Botswana,Emerald,Very good,61.0,2,,5242.822261904763,5242.822261904763,5242.822261904763
8854,1.4,AGSL,VS2,K, ,60.2,,7.23x7.24x4.35, ,Russia,Round, ,60.0,2,,7287.9875,7287.9875,7287.9875
8855,1.01,AGSL,SI2,F,Excellent,,,6.39x6.45x3.97,Excellent,Botswana,Oval,Very good,56.0,4,,5242.822261904763,5242.822261904763,5242.822261904763
8856,1.0,AGSL,SI1,H,Very good,62.8,,6.28x6.31x3.96,Good,Botswana,Round,Good,56.0,2,,6520.788333333334,6520.788333333334,6520.788333333334
8857,1.42,AGSL,VS1,L, ,59.8,,7.33x7.3x4.37,Excellent,DR Congo,Round,Excellent,60.0,3,,7112.95,0.0,0.0
8858,1.41,AGSL,VS2,K, ,60.0,False,7.24x7.28x4.36, ,DR Congo,Radiant, ,60.0,2,,7589.8791666666675,0.0,0.0
8859,1.2,AGSL,SI2,G, ,59.7,,6.92x6.88x4.12,Excellent,Russia,Round,Excellent,60.0,3,,8150.063631646132,8150.063631646132,8150.063631646132
8860,1.23,AGSL,VS2,J, ,62.1,,6.81x6.85x4.24,Excellent,Russia,Round,Excellent,56.0,2,,7253.925,7253.925,7253.925
8861,1.0,AGSL,SI1,G, ,63.1,,6.31x6.33x3.99,Very good,Russia,Round,Excellent,59.0,2,,6851.5142857142855,6851.5142857142855,6851.5142857142855
8862,1.0,AGSL,VS2,G, ,58.7,,6.56x6.52x3.84,Excellent,Russia,Princess,Very good,,3,,8034.505357142857,8034.505357142857,8034.505357142857
8863,1.12,AGSL,SI2,G,Excellent,62.6,,6.61x6.63x4.15,Excellent,Russia,Round,Excellent,55.0,2,,8561.358333333334,8561.358333333334,8561.358333333334
8864,1.43,AGSL,SI1,K, ,62.4,,7.17x7.2x4.48, ,Russia,Oval, ,57.0,2,,7295.033333333334,7295.033333333334,7295.033333333334
8865,1.06,GemEx,VVS1,I, ,59.9,,6.6x6.65x3.97, ,Botswana,Round, ,,2,,9937.44,9937.44,9937.44
8866,1.5,AGSL,VS1,L, ,,,7.46x7.43x4.42,Excellent,Botswana,ROUND,Excellent,61.0,4,,7218.6,7218.6,7218.6
8867,1.01,AGSL,IF,I, ,59.5,,6.46x6.48x3.85,Excellent,Canada,Round,Excellent,64.0,2,,7159.993333333333,7159.993333333333,7159.993333333333
8868,1.01,AGSL,VS2,J, ,,,6.24x6.27x4,Excellent,Russia,Round,Good,59.0,3,,5399.504345238095,5399.504345238095,5399.504345238095
8869,1.02,AGSL,SI1,G, ,60.0,,6.5x6.53x3.91, ,Russia,Oval, ,61.0,4,,7427.806666666666,7427.806666666666,7427.806666666666
8870,1.3,AGSL,VS1,J, ,62.6,False,6.98x6.94x4.35,Excellent,Australia,Marquis,Excellent,57.0,2,,7813.1749134199135,7813.1749134199135,7813.1749134199135
8871,1.31,AGSL,SI2,I, ,62.5,,6.98x6.96x4.35,Excellent,Angola,Round,Excellent,58.0,2,,9705.433333333332,0.0,0.0
8872,1.23,AGSL,SI1,J,Excellent,62.6,,6.86x6.88x4.3,Excellent,Russia,Round,Excellent,56.0,2,,6977.395833333334,6977.395833333334,6977.395833333334
8873,1.31,AGSL,SI2,I, ,62.4,,7x6.98x4.36,Excellent,Australia,Asscher,Excellent,,2,,8306.766666666666,8306.766666666666,8306.766666666666
8874,1.05,AGSL,SI2,I, ,62.7,True,6.5x6.46x4.06,Excellent,DR Congo,Round,Excellent,57.0,4,,5378.391666666667,0.0,0.0
8875,1.3,AGSL,VS2,J, ,62.2,,7x6.96x4.34,Excellent,Australia,Round,Excellent,56.0,2,,8340.625,8340.625,8340.625
8876,1.11,AGSL,VS2,I, ,62.7,,6.58x6.63x4.15, ,DR Congo,Round, ,57.0,3,,8408.942857142856,0.0,0.0
8877,1.03,AGSL,SI1,I, ,62.7,,6.42*6.47*4.04,Excellent,DR Congo,Round,Excellent,57.0,2,,6518.2108333333335,0.0,0.0
8878,1.14,AGSL,SI2,E, ,59.0,,6.84x6.9x4.05,Excellent,Botswana,Oval,Excellent,,2,,10346.0125,10346.0125,10346.0125
8879,1.17,,VVS2,J, ,62.5,,6.74x6.79x4.23,Excellent,Botswana,Round,Excellent,,2,,7068.933333333333,7068.933333333333,7068.933333333333
8880,1.4,AGSL,VS2,K, ,62.3,,7.12x7.15x4.44, ,South Africa,Emerald, ,57.0,1,,7815.1825,7815.1825,7815.1825
8881,1.3,GemEx,SI2,I, ,59.9,,7.08x7.05x4.23,Excellent,Russia,Oval,Excellent,61.0,4,,8190.239761904762,8190.239761904762,8190.239761904762
8882,1.5,AGSL,SI1,K, ,61.8,,7.29x7.25x4.49,Excellent,Botswana,Radiant,Very good,58.0,3,,8553.971666666666,8553.971666666666,8553.971666666666
8883,1.07,AGSL,VVS1,K, ,62.4,,6.57x6.53x4.08,Excellent,DR Congo,Round,Excellent,,3,,5470.2,0.0,0.0
8884,1.07,AGSL,VS2,I, ,61.6,,6.55x6.58x4.05,Excellent,Canada,Round,Excellent,,2,,7837.25,7837.25,7837.25
8885,1.2,GemEx,SI2,H, ,61.0,,6.81x6.85x4.17,Excellent,Canada,Princess,Excellent,60.0,3,,7280.664166666667,7280.664166666667,7280.664166666667
8886,1.13,AGSL,VS2,I, ,62.5,False,6.63x6.66x4.15, ,Botswana,Round, ,58.0,4,,7801.6,7801.6,7801.6
8887,1.4,AGSL,SI1,J, ,61.3,,7.16x7.18x4.39,Excellent,Russia,Round,Excellent,59.0,3,,8904.1125,8904.1125,8904.1125
8888,1.21,,VS2,I, ,62.5,,6.81x6.78x4.25,Excellent,Zimbabwe,Round,Excellent,58.0,1,,8632.1675,0.0,0.0
8889,1.01,AGSL,SI1,H,Very good,,,6.31x6.39x4.02,Excellent,DR Congo,Round,Good,,3,,6602.894166666666,0.0,0.0
8890,1.28,GemEx,SI1,J,Good,62.0,,6.95x6.97x4.31,Fair,Russia,Round,Excellent,56.0,4,,7304.841031746033,7304.841031746033,7304.841031746033
8891,1.01,AGSL,SI1,D, ,,,6.34x6.38x4.02,Excellent,Australia,Round,Excellent,57.0,4,,8591.058571428572,8591.058571428572,8591.058571428572
8892,1.22,AGSL,VS1,K,Excellent,62.1,,6.85x6.87x4.26,Excellent,Russia,Radiant,Excellent,56.0,2,,6185.35,6185.35,6185.35
8893,1.23,AGSL,SI2,I,Very good,60.7,,6.89x6.92x4.19,Very good,Angola,Emerald,Very good,58.0,1,,7756.478888888889,0.0,0.0
8894,1.33,AGSL,VS1,J, ,62.5,,7.04x6.99x4.38,Excellent,Botswana,Round,Excellent,57.0,2,,8147.4,8147.4,8147.4
8895,1.1,AGSL,VS2,H, ,60.0,,6.73x6.69x4.03,Excellent,Other/Unknown,Oval,Excellent,,2,,8956.9,8956.9,8956.9
8896,1.25,AGSL,SI2,G, ,61.8,,6.92x6.94x4.28,Excellent,Botswana,Princess,Excellent,,2,,9097.581666666667,9097.581666666667,9097.581666666667
8897,1.06,AGSL,SI1,G, ,62.9,,6.45x6.5x4.07, ,Russia,Round, ,,2,,7656.638333333333,7656.638333333333,7656.638333333333
8898,1.01,AGSL,SI1,D, ,,,6.52x6.47x3.96,Very good,Botswana,Round,Very good,,2,,9144.92,9144.92,9144.92
8899,1.0,AGSL,VVS2,F, ,65.6,,6.22x6.26x4.09, ,Russia,Marquise, ,53.0,3,,9499.233571428571,9499.233571428571,9499.233571428571
8900,1.03,AGSL,SI2,E, ,,,6.48x6.54x4,Excellent,Russia,Marquis,Excellent,57.0,2,,6618.564166666666,6618.564166666666,6618.564166666666
8901,1.01,AGSL,VS1,G, ,,,6.41x6.39x4,Excellent,Botswana,Round,Excellent,57.0,2,,9197.378333333334,9197.378333333334,9197.378333333334
8902,1.01,,SI1,G,Good,62.2,,6.24x6.28x3.9,Good,South Africa,Round,Good,,4,,7225.47487012987,7225.47487012987,7225.47487012987
8903,1.0,GemEx,SI1,G,Very good,60.3,False,6.43x6.48x3.89,Very good,Russia,Round,Good,63.0,2,,6851.5142857142855,6851.5142857142855,6851.5142857142855
8904,1.01,GemEx,VS2,H, ,62.3,,6.31x6.35x3.94,Excellent,Russia,Round,Very good,60.0,3,,8273.754583333333,8273.754583333333,8273.754583333333
8905,1.01,AGSL,VS1,F, ,63.0,,6.4x6.36x4.02,Excellent,Canada,Round,Very good,57.0,2,,9002.179166666667,9002.179166666667,9002.179166666667
8906,1.0,AGSL,SI1,E, ,,,6.54x6.59x3.88,Excellent,Botswana,Round,Very good,57.0,4,,7112.732976190476,7112.732976190476,7112.732976190476
8907,1.23,,SI1,I, ,62.6,,6.79x6.84x4.26,Very good,DR Congo,Round,Excellent,58.0,1,,8181.614166666667,0.0,0.0
8908,1.01,,SI1,E, ,,,6.52x6.55x3.92, ,DR Congo,Round, ,,2,,10813.330974025974,0.0,0.0
8909,1.08,AGSL,SI1,G, ,61.4,,6.53x6.56x4.02, ,Australia,Emerald, ,,4,,7867.86,7867.86,7867.86
8910,1.14,,SI1,G, ,,,6.84x6.81x4.07,Excellent,South Africa,Radiant,Excellent,60.0,4,,9628.505714285713,9628.505714285713,9628.505714285713
8911,1.0,GemEx,IF,I, ,61.3,,6.42x6.39x3.93,Excellent,Russia,Round,Excellent,,3,,6682.2675,6682.2675,6682.2675
8912,1.13,AGSL,VS2,H, ,59.9,,6.8x6.79x4.07,Excellent,Australia,Pear,Excellent,61.0,2,,8268.7,8268.7,8268.7
8913,1.02,AGSL,SI1,G, ,59.4,False,6.52x6.56x3.89, ,South Africa,Round, ,62.0,3,,7409.4475,7409.4475,7409.4475
8914,1.04,AGSL,SI2,G, ,,,6.43x6.46x4.02,Excellent,DR Congo,Round,Excellent,58.0,4,,7079.552539682539,0.0,0.0
8915,1.3,AGSL,SI2,H, ,,,6.97x6.93x4.34,Excellent,DR Congo,Round,Excellent,57.0,2,,9849.836666666664,0.0,0.0
8916,1.51,AGSL,SI2,K, ,62.3,,7.29x7.33x4.55, ,Botswana,Asscher, ,59.0,2,,8796.108333333332,8796.108333333332,8796.108333333332
8917,1.26,AGSL,VS1,K,Excellent,61.7,,6.92x6.94x4.28,Excellent,Russia,Round,Excellent,57.0,2,,6655.65,6655.65,6655.65
8918,1.08,AGSL,VS2,J, ,60.9,,6.63x6.6x4.03,Excellent,South Africa,Round,Excellent,60.0,4,,6423.7,6423.7,6423.7
8919,1.22,AGSL,VS1,I, ,62.5,,6.82x6.78x4.25,Excellent,Russia,Emerald,Excellent,57.0,2,,9424.953333333333,9424.953333333333,9424.953333333333
8920,1.1,AGSL,VVS2,I, ,62.2,,6.57x6.61x4.1, ,South Africa,Radiant, ,57.0,2,,8697.55,8697.55,8697.55
8921,1.3,AGSL,SI2,I, ,62.1,False,6.95x6.98x4.33,Excellent,Russia,Round,Excellent,,1,,8190.239761904762,8190.239761904762,8190.239761904762
8922,1.43,AGSL,VS1,K, ,62.2,False,7.17x7.21x4.47, ,Russia,Round, ,,3,,7582.35,7582.35,7582.35
8923,1.05,AGSL,VS2,G, ,62.1,,6.52x6.48x4.04,Excellent,South Africa,Round,Excellent,57.0,4,,9225.710833333333,9225.710833333333,9225.710833333333
8924,1.01,AGSL,SI1,F, ,60.7,,6.47x6.52x3.95, ,DR Congo,Round, ,,2,,7050.724603174604,0.0,0.0
8925,1.4,AGSL,SI1,J, ,62.0,,7.17x7.14x4.44,Excellent,Other/Unknown,Round,Excellent,59.0,2,,8653.123333333333,8653.123333333333,8653.123333333333
8926,1.13,AGSL,VS1,I, ,,,6.77x6.82x4.05,Very good,Botswana,Round,Excellent,59.0,2,,7831.05,7831.05,7831.05
8927,1.07,AGSL,VS1,I, ,62.0,,6.52x6.57x4.06,Excellent,Russia,Radiant,Excellent,57.0,2,,8553.475,8553.475,8553.475
8928,1.12,AGSL,SI1,G, ,62.1,,6.6x6.63x4.11, ,DR Congo,Round, ,57.0,3,,8032.548214285714,0.0,0.0
8929,1.53,AGSL,SI2,J, ,64.2,,7.16x7.21x4.61, ,Russia,Radiant, ,57.0,2,,10673.740595238094,10673.740595238094,10673.740595238094
8930,1.31,AGSL,SI2,J,Excellent,60.3,,7.08x7.1x4.28,Excellent,Canada,Princess,Excellent,,2,,7833.45,7833.45,7833.45
8931,1.05,AGSL,VS2,G, ,61.7,,6.54x6.5x4.02,Excellent,DR Congo,Emerald,Excellent,59.0,2,,8846.3,0.0,0.0
8932,1.31,AGSL,SI2,H, ,62.1,,7x7.01x4.35, ,Other/Unknown,Round, ,,2,,8743.090119047618,8743.090119047618,8743.090119047618
8933,1.01,AGSL,VS1,H,Very good,60.5,,6.47x6.52x3.93,Very good,Australia,Pear,Good,,4,,8002.028928571427,8002.028928571427,8002.028928571427
8934,1.3,AGSL,SI1,I, ,61.6,,6.96x7.01x4.3,Excellent,DR Congo,Round,Excellent,59.0,1,,9909.975,0.0,0.0
8935,1.13,AGSL,SI1,E, ,60.0,,6.71x6.76x4.04, ,Botswana,Round, ,62.0,1,,9649.941666666666,9649.941666666666,9649.941666666666
8936,0.91,AGSL,SI1,D, ,,,6.19x6.2x3.85,Excellent,Canada,Round,Excellent,56.0,2,,6887.1375,6887.1375,6887.1375
8937,1.24,AGSL,SI2,H,Excellent,62.2,False,6.84x6.88x4.27,Excellent,Canada,Round,Excellent,57.0,2,,7283.675,7283.675,7283.675
8938,1.51,AGSL,SI1,J, ,,,7.22x7.14x4.63,Very good,Botswana,Round,Very good,,2,,10250.609285714285,10250.609285714285,10250.609285714285
8939,1.21,AGSL,SI1,H, ,60.5,,6.9x6.87x4.16,Excellent,South Africa,Round,Excellent,59.0,4,,9287.364583333332,9287.364583333332,9287.364583333332
8940,1.05,AGSL,VVS2,J, ,,,6.55x6.51x4.01,Excellent,Russia,Round,Excellent,,3,,5929.065,5929.065,5929.065
8941,1.4,AGSL,SI1,J, ,,,7.11x7.14x4.46, ,Russia,Round, ,,2,,8904.1125,8904.1125,8904.1125
8942,1.1,,SI1,D, ,60.9,,6.65x6.68x4.06, ,Russia,Round, ,58.0,1,,10361.211666666666,10361.211666666666,10361.211666666666
8943,1.08,AGSL,VS2,G, ,60.2,,6.67x6.64x4.01,Excellent,Botswana,Princess,Excellent,60.0,4,,9966.266666666668,9966.266666666668,9966.266666666668
8944,1.21,AGSL,VS1,I, ,62.5,,6.82x6.79x4.25,Excellent,Botswana,Round,Excellent,57.0,2,,8333.683333333334,8333.683333333334,8333.683333333334
8945,1.22,AGSL,SI2,G, ,,,6.8x6.83x4.24, ,Russia,Round, ,,2,,8776.350555555557,8776.350555555557,8776.350555555557
8946,1.49,AGSL,VS1,K, ,62.2,,7.34x7.31x4.56,Excellent,Russia,Radiant,Excellent,58.0,3,,8771.95,8771.95,8771.95
8947,1.4,AGSL,VS1,J, ,63.0,,7.12x7.08x4.47,Excellent,Canada,Round,Excellent,57.0,2,,9076.138333333334,9076.138333333334,9076.138333333334
8948,1.24,AGSL,SI2,G, ,61.8,False,6.92x6.96x4.29,Excellent,Russia,Round,Excellent,53.0,2,,8723.15388888889,8723.15388888889,8723.15388888889
8949,1.03,GemEx,SI1,H, ,62.4,,6.44x6.5x4.04,Excellent,Russia,Round,Very good,54.0,2,,6307.539999999999,6307.539999999999,6307.539999999999
8950,1.0,AGSL,VVS2,G, ,60.9,,6.39x6.35x3.88,Excellent,Canada,Pear,Excellent,61.0,2,,7770.632857142857,7770.632857142857,7770.632857142857
8951,1.21,AGSL,SI1,I,Very good,63.6,False,6.71x6.73x4.27,Excellent,Botswana,Round,Very good,56.0,2,,7129.0,7129.0,7129.0
8952,1.27,AGSL,SI1,J,Excellent,59.1,,7.06x7.09x4.18,Excellent,South Africa,Round,Excellent,,3,,7035.904166666666,7035.904166666666,7035.904166666666
8953,1.47,AGSL,VS1,L, ,60.2,,7.35x7.44x4.45,Very good,Angola,Round,Very good,58.0,2,,5761.8,0.0,0.0
8954,0.96,AGSL,SI1,D, ,,,6.31x6.34x3.91,Excellent,Australia,Round,Excellent,,2,,7104.7,7104.7,7104.7
8955,1.2,AGSL,VS1,I, ,62.0,,6.76x6.8x4.2, ,Russia,Marquise, ,,1,,9096.945,9096.945,9096.945
8956,1.5,AGSL,SI1,J, ,63.7,,7.22x7.2x4.6,Excellent,Russia,Round,Excellent,57.0,2,,10214.83,10214.83,10214.83
8957,1.4,AGSL,SI1,J, ,62.6,,7.1x7.16x4.46,Excellent,Australia,Round,Excellent,57.0,2,,6377.9575,6377.9575,6377.9575
8958,1.31,AGSL,SI2,H, ,62.5,False,6.98x6.99x4.37,Excellent,Russia,Round,Excellent,57.0,2,,8954.216666666667,8954.216666666667,8954.216666666667
8959,1.01,AGSL,VS2,G, ,59.3,,6.47x6.5x3.85,Excellent,DR Congo,Radiant,Excellent,62.0,3,,8428.766666666668,0.0,0.0
8960,1.01,AGSL,VS2,I, ,60.8,,6.37x6.29x3.85,Excellent,Russia,Round,Very good,62.0,2,,6854.007976190475,6854.007976190475,6854.007976190475
8961,1.0,AGSL,VS1,F, ,,,6.28x6.26x4.03,Excellent,DR Congo,Emerald,Excellent,55.0,4,,9972.435,0.0,0.0
8962,1.0,AGSL,VS1,F, ,,,6.34x6.3x3.99,Good,Russia,Round,Excellent,,4,,9004.676071428572,9004.676071428572,9004.676071428572
8963,1.04,AGSL,SI1,G, ,62.4,False,6.47x6.5x4.05,Excellent,Other/Unknown,Princess,Excellent,57.0,3,,8340.67,8340.67,8340.67
8964,1.21,AGSL,SI1,F, ,62.0,,6.8x6.82x4.22,Very good,Russia,Round,Excellent,,4,,10614.3225,10614.3225,10614.3225
8965,1.7,AGSL,SI1,L, ,62.0,True,7.65x7.63x4.74,Excellent,DR Congo,Pear,Excellent,,2,,8660.4125,0.0,0.0
8966,1.27,GemEx,VS2,I, ,,False,6.98x7.02x4.29, ,Russia,Round, ,57.0,2,,8976.699999999999,8976.699999999999,8976.699999999999
8967,0.9,AGSL,VVS1,G, ,60.3,,6.27x6.32x3.8, ,Botswana,Round, ,57.0,3,,7025.876666666667,7025.876666666667,7025.876666666667
8968,1.01,AGSL,SI1,F, ,,,6.39x6.41x4.01,Excellent,Australia,Radiant,Excellent,56.0,3,,8306.827380952378,8306.827380952378,8306.827380952378
8969,1.4,GemEx,SI1,J, ,,,7.28x7.3x4.3, ,South Africa,Round, ,61.0,3,,8496.564999999999,8496.564999999999,8496.564999999999
8970,1.09,AGSL,VVS2,H, ,62.2,,6.62x6.59x4.11,Excellent,Angola,Round,Excellent,57.0,2,,9821.6,0.0,0.0
8971,1.01,AGSL,VS1,F, ,64.2,,6.32x6.29x4.05,Very good,Russia,Round,Excellent,56.0,2,,8390.982738095237,8390.982738095237,8390.982738095237
8972,1.09,AGSL,VVS2,J, ,62.5,,6.61x6.58x4.12,Excellent,Botswana,Round,Very good,,4,,6054.9,6054.9,6054.9
8973,1.01,AGSL,VS2,G, ,60.4,,6.49x6.52x3.93, ,Russia,Emerald, ,61.0,2,,8475.357916666666,8475.357916666666,8475.357916666666
8974,1.27,AGSL,SI1,I, ,62.3,,6.88x6.93x4.3,Excellent,Russia,Round,Very good,58.0,2,,8762.116666666667,8762.116666666667,8762.116666666667
8975,1.7,,VS1,L, ,,,7.63x7.59x4.76,Excellent,Canada,Round,Excellent,57.0,4,,11145.1,11145.1,11145.1
8976,1.74,AGSL,VVS2,S-t,Very good,64.6,,7.47x7.52x4.84,Excellent,Russia,Round,Excellent,55.0,4,,14886.836666666668,14886.836666666668,14886.836666666668
8977,1.41,AGSL,SI2,I, ,62.4,,7.17x7.14x4.46,Excellent,Angola,Round,Excellent,57.0,2,,9786.95,0.0,0.0
8978,1.01,AGSL,VS1,F, ,63.5,,6.35x6.3x4.02,Excellent,Botswana,Round,Very good,54.0,2,,9096.223333333333,9096.223333333333,9096.223333333333
8979,1.01,AGSL,VS1,F, ,64.1,True,6.31x6.27x4.03,Excellent,DR Congo,Round,Excellent,57.0,2,,10066.231666666667,0.0,0.0
8980,1.33,AGSL,SI2,G, ,60.6,,7.14x7.11x4.32,Excellent,Angola,Round,Excellent,59.0,4,,8922.013333333332,0.0,0.0
8981,1.03,AGSL,VS1,F, ,64.0,,6.32x6.3x4.04,Excellent,Canada,Round,Excellent,59.0,1,,11754.9,11754.9,11754.9
8982,1.4,AGSL,VS2,J, ,62.5,,7.11x7.16x4.46, ,Russia,Round, ,58.0,4,,9000.476666666666,9000.476666666666,9000.476666666666
